Time	avg(Block size (kB)) – Bitcoin
03.01.2009	285
09.01.2009	215
10.01.2009	215.2295081967213
11.01.2009	215.40860215053763
12.01.2009	234.37234042553192
13.01.2009	215.66666666666666
14.01.2009	219.19379844961242
15.01.2009	238.5793650793651
16.01.2009	220.87037037037038
17.01.2009	215.85321100917432
18.01.2009	219.94392523364485
19.01.2009	232.89565217391305
20.01.2009	224.7280701754386
21.01.2009	218.99019607843138
22.01.2009	228.74725274725276
23.01.2009	229.23809523809524
24.01.2009	222.0597014925373
25.01.2009	217
26.01.2009	239.94791666666666
27.01.2009	220.30927835051546
28.01.2009	215.65178571428572
29.01.2009	227.25619834710744
30.01.2009	215.87179487179486
31.01.2009	232.46376811594203
01.02.2009	218.20353982300884
02.02.2009	217.09375
03.02.2009	248.49640287769785
04.02.2009	215.73949579831933
05.02.2009	215.72222222222223
06.02.2009	215.8360655737705
07.02.2009	240.31007751937983
08.02.2009	217.57575757575756
09.02.2009	253.6044776119403
10.02.2009	215.66666666666666
11.02.2009	229.12781954887217
12.02.2009	215.87394957983193
13.02.2009	215.90322580645162
14.02.2009	215.78676470588235
15.02.2009	229.3828125
16.02.2009	244.172131147541
17.02.2009	215.89743589743588
18.02.2009	215.9406779661017
19.02.2009	231.0483870967742
20.02.2009	215.85245901639345
21.02.2009	215.96491228070175
22.02.2009	228.54545454545453
23.02.2009	215.99074074074073
24.02.2009	215.93396226415095
25.02.2009	215.86666666666667
26.02.2009	215.9626168224299
27.02.2009	251.8
28.02.2009	224.5252525252525
01.03.2009	215.95238095238096
02.03.2009	215.96296296296296
03.03.2009	225.42857142857142
04.03.2009	244.71153846153845
05.03.2009	224.41071428571428
06.03.2009	215.92307692307693
07.03.2009	215.9724770642202
08.03.2009	243.59130434782608
09.03.2009	215.71296296296296
10.03.2009	215.97196261682242
11.03.2009	215.8859649122807
12.03.2009	219.53389830508473
13.03.2009	229.38938053097345
14.03.2009	215.79090909090908
15.03.2009	215.96747967479675
16.03.2009	261.5123966942149
17.03.2009	215.96491228070175
18.03.2009	230.71052631578948
19.03.2009	215.78688524590163
20.03.2009	227.85593220338984
21.03.2009	215.88
22.03.2009	227.12605042016807
23.03.2009	215.92307692307693
24.03.2009	215.98095238095237
25.03.2009	215.7863247863248
26.03.2009	243.60683760683762
27.03.2009	215.95283018867926
28.03.2009	236.23529411764707
29.03.2009	215.9655172413793
30.03.2009	215.85
31.03.2009	249.51818181818183
01.04.2009	215.859649122807
02.04.2009	215.88695652173914
03.04.2009	215.94827586206895
04.04.2009	215.7433628318584
05.04.2009	231.55384615384617
06.04.2009	215.9816513761468
07.04.2009	215.99
08.04.2009	216
09.04.2009	215.73737373737373
10.04.2009	215.94444444444446
11.04.2009	223.33333333333334
12.04.2009	224.71186440677965
13.04.2009	217.96521739130435
14.04.2009	215.9516129032258
15.04.2009	215.7433628318584
16.04.2009	215.89430894308944
17.04.2009	215.85714285714286
18.04.2009	222.03968253968253
19.04.2009	224
20.04.2009	327.03361344537814
21.04.2009	217.739837398374
22.04.2009	215.96694214876032
23.04.2009	215.68
24.04.2009	215.90434782608696
25.04.2009	215.864406779661
26.04.2009	232.05357142857142
27.04.2009	215.89423076923077
28.04.2009	215.63247863247864
29.04.2009	234.09375
30.04.2009	215.95419847328245
01.05.2009	215.87603305785123
02.05.2009	231.37301587301587
03.05.2009	223.72641509433961
04.05.2009	242.9296875
05.05.2009	224.66666666666666
06.05.2009	215.9777777777778
07.05.2009	216
08.05.2009	215.94392523364485
09.05.2009	215.48717948717947
10.05.2009	215.75294117647059
11.05.2009	218.85833333333332
12.05.2009	215.92307692307693
13.05.2009	225.77477477477478
14.05.2009	221.0863309352518
15.05.2009	224.60294117647058
16.05.2009	215.94957983193277
17.05.2009	215.96062992125985
18.05.2009	215.92372881355934
19.05.2009	215.88372093023256
20.05.2009	215.73333333333332
21.05.2009	215.96341463414635
22.05.2009	215.9672131147541
23.05.2009	215.9375
24.05.2009	215.9
25.05.2009	215.954128440367
26.05.2009	215.904
27.05.2009	215.7310924369748
28.05.2009	215.8842105263158
29.05.2009	280.83962264150944
30.05.2009	215.71559633027522
31.05.2009	216
01.06.2009	219.83098591549296
02.06.2009	215.9099099099099
03.06.2009	216
04.06.2009	215.93939393939394
05.06.2009	215.9
06.06.2009	215.28571428571428
07.06.2009	215.9375
08.06.2009	215.76829268292684
09.06.2009	215.8021978021978
10.06.2009	215.9268292682927
11.06.2009	215.96629213483146
12.06.2009	215.86046511627907
13.06.2009	215.44871794871796
14.06.2009	215.69444444444446
15.06.2009	215.95238095238096
16.06.2009	215.73239436619718
17.06.2009	215.64556962025316
18.06.2009	215.8125
19.06.2009	215.67816091954023
20.06.2009	215.76923076923077
21.06.2009	215.76543209876544
22.06.2009	306.38157894736844
23.06.2009	215.56578947368422
24.06.2009	221.57894736842104
25.06.2009	249.75
26.06.2009	215.6
27.06.2009	215.83333333333334
28.06.2009	220.7391304347826
29.06.2009	218.72289156626505
30.06.2009	221.04705882352943
01.07.2009	219.43243243243242
02.07.2009	218.6144578313253
03.07.2009	215.97560975609755
04.07.2009	215.87640449438203
05.07.2009	215.9873417721519
06.07.2009	215.97619047619048
07.07.2009	215.94202898550725
08.07.2009	215.98648648648648
09.07.2009	215.72093023255815
10.07.2009	215.8641975308642
11.07.2009	215.9879518072289
12.07.2009	215.7922077922078
13.07.2009	215.9102564102564
14.07.2009	215.95652173913044
15.07.2009	215.9777777777778
16.07.2009	215.85915492957747
17.07.2009	215.80851063829786
18.07.2009	215
19.07.2009	215.8
20.07.2009	414.7
21.07.2009	215.85365853658536
22.07.2009	215.4
23.07.2009	215.68421052631578
24.07.2009	215.93150684931507
25.07.2009	215.84375
26.07.2009	215.52380952380952
27.07.2009	215.90540540540542
28.07.2009	215.70731707317074
29.07.2009	229.94736842105263
30.07.2009	231.2
31.07.2009	215.7058823529412
01.08.2009	215.82142857142858
02.08.2009	215.6086956521739
03.08.2009	215.83333333333334
04.08.2009	215.62962962962962
05.08.2009	215.72413793103448
06.08.2009	215.92222222222222
07.08.2009	375.525
08.08.2009	215.875
09.08.2009	216
10.08.2009	215.98666666666668
11.08.2009	215.9142857142857
12.08.2009	215.52380952380952
13.08.2009	215.76470588235293
14.08.2009	215.82539682539684
15.08.2009	215.3846153846154
16.08.2009	215.52631578947367
17.08.2009	215.8235294117647
18.08.2009	216
19.08.2009	215.38888888888889
20.08.2009	215.1818181818182
21.08.2009	215
22.08.2009	215
23.08.2009	215.53333333333333
24.08.2009	215
25.08.2009	215.66
26.08.2009	335.8333333333333
27.08.2009	215.3448275862069
28.08.2009	215.73333333333332
29.08.2009	215.80769230769232
30.08.2009	217.38144329896906
31.08.2009	224.34883720930233
01.09.2009	215.7948717948718
02.09.2009	215.84848484848484
03.09.2009	242.9016393442623
04.09.2009	215.671875
05.09.2009	215.8421052631579
06.09.2009	215.85294117647058
07.09.2009	235.43589743589743
08.09.2009	215.768115942029
09.09.2009	215.7962962962963
10.09.2009	215.80597014925374
11.09.2009	215.82089552238807
12.09.2009	215.8840579710145
13.09.2009	215.84
14.09.2009	215.85135135135135
15.09.2009	215.86363636363637
16.09.2009	218.875
17.09.2009	354.2261904761905
18.09.2009	215.80769230769232
19.09.2009	215.95945945945945
20.09.2009	215.98717948717947
21.09.2009	229.7536231884058
22.09.2009	399.84
23.09.2009	215.72222222222223
24.09.2009	215.50515463917526
25.09.2009	249.3186813186813
26.09.2009	215.46
27.09.2009	237.3793103448276
28.09.2009	215.9294117647059
29.09.2009	272.6136363636364
30.09.2009	215.76470588235293
01.10.2009	215.890243902439
02.10.2009	232.22222222222223
03.10.2009	215.41379310344828
04.10.2009	215.67924528301887
05.10.2009	215.76363636363635
06.10.2009	259.1162790697674
07.10.2009	215.71666666666667
08.10.2009	215.47142857142856
09.10.2009	215.65822784810126
10.10.2009	215.8181818181818
11.10.2009	215.75675675675674
12.10.2009	364.37931034482756
13.10.2009	215.80701754385964
14.10.2009	215.6231884057971
15.10.2009	215.3661971830986
16.10.2009	372.51666666666665
17.10.2009	215.8421052631579
18.10.2009	227
19.10.2009	215.44642857142858
20.10.2009	338
21.10.2009	241.6625
22.10.2009	268.1222222222222
23.10.2009	215.42696629213484
24.10.2009	230.19354838709677
25.10.2009	215.57894736842104
26.10.2009	215.80281690140845
27.10.2009	245.78125
28.10.2009	215.6818181818182
29.10.2009	319.39130434782606
30.10.2009	215.46666666666667
31.10.2009	215.30434782608697
01.11.2009	215.28
02.11.2009	215.3939393939394
03.11.2009	215.53225806451613
04.11.2009	294.1111111111111
05.11.2009	215.47368421052633
06.11.2009	215.5483870967742
07.11.2009	215.66666666666666
08.11.2009	215.54794520547946
09.11.2009	215.6875
10.11.2009	215.3846153846154
11.11.2009	331.453125
12.11.2009	215.42424242424244
13.11.2009	238.45
14.11.2009	215.63291139240508
15.11.2009	215.625
16.11.2009	215.68041237113403
17.11.2009	215.66304347826087
18.11.2009	215.43037974683546
19.11.2009	375.2
20.11.2009	215.61627906976744
21.11.2009	215.7123287671233
22.11.2009	215.70754716981133
23.11.2009	215.85416666666666
24.11.2009	215.56989247311827
25.11.2009	215.64444444444445
26.11.2009	215.51190476190476
27.11.2009	215.47297297297297
28.11.2009	215.56338028169014
29.11.2009	215.68333333333334
30.11.2009	215.76
01.12.2009	483.7808219178082
02.12.2009	215.64893617021278
03.12.2009	215.7840909090909
04.12.2009	215.44444444444446
05.12.2009	249.015625
06.12.2009	220.35922330097088
07.12.2009	215.64285714285714
08.12.2009	249.2095238095238
09.12.2009	263.2083333333333
10.12.2009	215.64423076923077
11.12.2009	215.34821428571428
12.12.2009	286.44545454545454
13.12.2009	215.75438596491227
14.12.2009	591.4705882352941
15.12.2009	226.94545454545454
16.12.2009	230.21323529411765
17.12.2009	224.96449704142012
18.12.2009	215.54222222222222
19.12.2009	216.7171717171717
20.12.2009	215.9142857142857
21.12.2009	216.57714285714286
22.12.2009	215.72222222222223
23.12.2009	215.67532467532467
24.12.2009	215.6883116883117
25.12.2009	217.3020134228188
26.12.2009	215.7183908045977
27.12.2009	219.79640718562874
28.12.2009	215.75182481751824
29.12.2009	215.64912280701753
30.12.2009	215.68794326241135
31.12.2009	215.69565217391303
01.01.2010	217.95454545454547
02.01.2010	215.62698412698413
03.01.2010	215.76344086021504
04.01.2010	269.04419889502765
05.01.2010	215.63131313131314
06.01.2010	215.74233128834356
07.01.2010	215.63636363636363
08.01.2010	215.75816993464053
09.01.2010	215.82781456953643
10.01.2010	215.8
11.01.2010	215.69811320754718
12.01.2010	372.0125786163522
13.01.2010	218.5060975609756
14.01.2010	224.5734265734266
15.01.2010	219.90070921985816
16.01.2010	222.28
17.01.2010	215.5648854961832
18.01.2010	217.328
19.01.2010	215.38709677419354
20.01.2010	215.4493670886076
21.01.2010	235.2342857142857
22.01.2010	221.406015037594
23.01.2010	218.4625
24.01.2010	216.7012987012987
25.01.2010	251.2559241706161
26.01.2010	230.12820512820514
27.01.2010	230.0548780487805
28.01.2010	229.56497175141243
29.01.2010	227.75634517766497
30.01.2010	235.40952380952382
31.01.2010	229.04242424242423
01.02.2010	233.91847826086956
02.02.2010	232.17241379310346
03.02.2010	218.43703703703704
04.02.2010	237.8995633187773
05.02.2010	342.7309417040359
06.02.2010	237.18229166666666
07.02.2010	222.9078341013825
08.02.2010	290.79
09.02.2010	446.8357487922705
10.02.2010	628.6011904761905
11.02.2010	266.7692307692308
12.02.2010	255.97267759562843
13.02.2010	258.73275862068965
14.02.2010	252.8125
15.02.2010	278.8011363636364
16.02.2010	227.52820512820512
17.02.2010	234.02092050209205
18.02.2010	249.39903846153845
19.02.2010	220.22916666666666
20.02.2010	223.3846153846154
21.02.2010	281.2286995515695
22.02.2010	334.0769230769231
23.02.2010	216.336
24.02.2010	289.03508771929825
25.02.2010	322.8831168831169
26.02.2010	231.16860465116278
27.02.2010	223.45348837209303
28.02.2010	294.40384615384613
01.03.2010	235.35897435897436
02.03.2010	241.38829787234042
03.03.2010	310.01973684210526
04.03.2010	455.07567567567565
05.03.2010	217.98830409356725
06.03.2010	278.6271186440678
07.03.2010	290.69832402234636
08.03.2010	383.696
09.03.2010	279.43835616438355
10.03.2010	249.58024691358025
11.03.2010	271.45864661654133
12.03.2010	222.86776859504133
13.03.2010	242.718954248366
14.03.2010	227.032
15.03.2010	224.56296296296296
16.03.2010	239.9920634920635
17.03.2010	238.1691176470588
18.03.2010	286.39285714285717
19.03.2010	313.27450980392155
20.03.2010	265.8125
21.03.2010	223.37158469945356
22.03.2010	243.39106145251398
23.03.2010	262.24154589371983
24.03.2010	243.32748538011697
25.03.2010	430.7165775401069
26.03.2010	264.3045685279188
27.03.2010	234.20224719101122
28.03.2010	229.8978494623656
29.03.2010	258.5487179487179
30.03.2010	223
31.03.2010	231.16267942583733
01.04.2010	237.5
02.04.2010	231.73076923076923
03.04.2010	236.3726708074534
04.04.2010	265.7426900584795
05.04.2010	342.4575163398693
06.04.2010	296.27672955974845
07.04.2010	282.7979274611399
08.04.2010	261.6612021857924
09.04.2010	350.6190476190476
10.04.2010	350.9
11.04.2010	323.2690582959641
12.04.2010	331.35960591133005
13.04.2010	245.28571428571428
14.04.2010	311.8722222222222
15.04.2010	624.3564814814815
16.04.2010	355.3019801980198
17.04.2010	274.29411764705884
18.04.2010	3619.6285714285714
19.04.2010	384.87931034482756
20.04.2010	356.2439024390244
21.04.2010	307.17351598173514
22.04.2010	280.22641509433964
23.04.2010	307.73333333333335
24.04.2010	356.51190476190476
25.04.2010	371.7911392405063
26.04.2010	320.7317073170732
27.04.2010	302.6333333333333
28.04.2010	328.10555555555555
29.04.2010	280.3673469387755
30.04.2010	274.2708333333333
01.05.2010	270.6174863387978
02.05.2010	258.23870967741937
03.05.2010	315.314465408805
04.05.2010	426.36764705882354
05.05.2010	395.24087591240874
06.05.2010	446.8993288590604
07.05.2010	314.3030303030303
08.05.2010	434.96753246753246
09.05.2010	344.46153846153845
10.05.2010	371.6796875
11.05.2010	270.64864864864865
12.05.2010	366.37795275590554
13.05.2010	344.046875
14.05.2010	1554.4227642276423
15.05.2010	2215.769230769231
16.05.2010	273.9026548672566
17.05.2010	347.65034965034965
18.05.2010	338.0892857142857
19.05.2010	340.1768292682927
20.05.2010	274.51724137931035
21.05.2010	373.90909090909093
22.05.2010	429.35897435897436
23.05.2010	372.3080568720379
24.05.2010	311.5159574468085
25.05.2010	297.55238095238093
26.05.2010	337.13452914798205
27.05.2010	362.4166666666667
28.05.2010	296.27354260089686
29.05.2010	348.7554347826087
30.05.2010	310.6510067114094
31.05.2010	321.7957746478873
01.06.2010	341.6740740740741
02.06.2010	300.29931972789115
03.06.2010	450.82236842105266
04.06.2010	306.208
05.06.2010	313.88965517241377
06.06.2010	337.60135135135135
07.06.2010	463.0127388535032
08.06.2010	341.1625
09.06.2010	367.1190476190476
10.06.2010	310.58125
11.06.2010	368.98809523809524
12.06.2010	370.52592592592595
13.06.2010	352.19767441860466
14.06.2010	453.44099378881987
15.06.2010	358.5978260869565
16.06.2010	408.69718309859155
17.06.2010	321.5821917808219
18.06.2010	333.56
19.06.2010	480.93333333333334
20.06.2010	297.3027027027027
21.06.2010	394.2792207792208
22.06.2010	388.5128205128205
23.06.2010	351.9732620320856
24.06.2010	362.5147928994083
25.06.2010	315.2866666666667
26.06.2010	286.27672955974845
27.06.2010	312.5
28.06.2010	349.6381578947368
29.06.2010	440.6568047337278
30.06.2010	1207.1813186813188
01.07.2010	356.90995260663504
02.07.2010	679.6047904191616
03.07.2010	341.7830188679245
04.07.2010	473.8975903614458
05.07.2010	362.98324022346367
06.07.2010	296.79289940828403
07.07.2010	421.7564102564103
08.07.2010	345.5298013245033
09.07.2010	310.3819095477387
10.07.2010	341.1363636363636
11.07.2010	503.731843575419
12.07.2010	912.4446130500759
13.07.2010	520.3742774566474
14.07.2010	2847.0484429065746
15.07.2010	872.2964743589744
16.07.2010	611.8178217821783
17.07.2010	730.6531791907514
18.07.2010	846.2848837209302
19.07.2010	837.0402298850574
20.07.2010	1065.707182320442
21.07.2010	623.4830917874397
22.07.2010	572.9034090909091
23.07.2010	528.159793814433
24.07.2010	1526.5608465608466
25.07.2010	3225.6753246753246
26.07.2010	999.3786008230453
27.07.2010	760.2710843373494
28.07.2010	3424.698113207547
29.07.2010	2451.3277777777776
30.07.2010	619.2692307692307
31.07.2010	470.70443349753697
01.08.2010	432.0334728033473
02.08.2010	437.3884297520661
03.08.2010	824.8986784140969
04.08.2010	489.04526748971193
05.08.2010	927.9082568807339
06.08.2010	757.1224489795918
07.08.2010	640.9741935483871
08.08.2010	529.1959798994975
09.08.2010	1564.1631578947367
10.08.2010	475.81675392670155
11.08.2010	496.85407725321886
12.08.2010	459.80645161290323
13.08.2010	837.3441860465116
14.08.2010	492.20996441281136
15.08.2010	403.951690821256
16.08.2010	1049.8775510204082
17.08.2010	675.5271317829457
18.08.2010	2005.5037593984962
19.08.2010	623.6518518518518
20.08.2010	595.8341968911917
21.08.2010	539.4219653179191
22.08.2010	472.5566037735849
23.08.2010	488.1079812206573
24.08.2010	836.1255813953488
25.08.2010	415.4583333333333
26.08.2010	562.547619047619
27.08.2010	474.99415204678365
28.08.2010	607.464705882353
29.08.2010	413.69135802469134
30.08.2010	671.48322147651
31.08.2010	976.8641304347826
01.09.2010	894.5923566878981
02.09.2010	607.974358974359
03.09.2010	507.1707317073171
04.09.2010	409.414364640884
05.09.2010	546.1393939393939
06.09.2010	505.87974683544303
07.09.2010	467.78125
08.09.2010	560.8060606060606
09.09.2010	714.7259259259259
10.09.2010	561.2033898305085
11.09.2010	505.7
12.09.2010	700.4237288135594
13.09.2010	776.8362573099415
14.09.2010	598.320197044335
15.09.2010	767.6686390532544
16.09.2010	551.5753424657535
17.09.2010	726.5384615384615
18.09.2010	452.60759493670884
19.09.2010	509.6842105263158
20.09.2010	692.3891625615763
21.09.2010	1555.4709302325582
22.09.2010	1243.7816091954023
23.09.2010	833.6324786324786
24.09.2010	613.1973684210526
25.09.2010	777.256038647343
26.09.2010	585.6487804878049
27.09.2010	957.6724890829694
28.09.2010	1222.004716981132
29.09.2010	2200.1036585365855
30.09.2010	752.9589041095891
01.10.2010	1105.1038961038962
02.10.2010	1816.85
03.10.2010	938.4590163934427
04.10.2010	912.6013071895425
05.10.2010	1001.0714285714286
06.10.2010	710.672514619883
07.10.2010	668.5125
08.10.2010	864.4090909090909
09.10.2010	904.9240506329114
10.10.2010	630.5955056179776
11.10.2010	656.5849056603773
12.10.2010	698.741935483871
13.10.2010	869.7045454545455
14.10.2010	568.8146341463415
15.10.2010	531.7457627118644
16.10.2010	568.9806201550388
17.10.2010	487.5
18.10.2010	734.6827309236947
19.10.2010	1164.53515625
20.10.2010	868.6590909090909
21.10.2010	971.9032258064516
22.10.2010	1262.5
23.10.2010	902.5371428571428
24.10.2010	788.170731707317
25.10.2010	656.9901477832512
26.10.2010	635.8257261410788
27.10.2010	909.3333333333334
28.10.2010	728.1735159817351
29.10.2010	729.829596412556
30.10.2010	475.781746031746
31.10.2010	541.1284916201117
01.11.2010	581.271186440678
02.11.2010	449.34090909090907
03.11.2010	521.4473684210526
04.11.2010	513.7164179104477
05.11.2010	705.6392694063927
06.11.2010	528.6422018348624
07.11.2010	528.195020746888
08.11.2010	844.5563636363636
09.11.2010	546.520737327189
10.11.2010	549.0246305418719
11.11.2010	510.35616438356163
12.11.2010	467.84023668639054
13.11.2010	445.70403587443946
14.11.2010	560.96484375
15.11.2010	8786.66
16.11.2010	10953.644670050762
17.11.2010	505
18.11.2010	1375.3735408560312
19.11.2010	14581.166666666666
20.11.2010	19051.327586206895
21.11.2010	16434.742857142857
22.11.2010	627.8036809815951
23.11.2010	753.4857142857143
24.11.2010	5500.90395480226
25.11.2010	9517.75138121547
26.11.2010	1913.7319587628865
27.11.2010	745.2888888888889
28.11.2010	715.2383720930233
29.11.2010	692.0047846889952
30.11.2010	645.6584158415842
01.12.2010	869.4787234042553
02.12.2010	696.5797872340426
03.12.2010	685.6031746031746
04.12.2010	579.5502183406113
05.12.2010	489.1464435146444
06.12.2010	502.9751037344398
07.12.2010	753.0543933054394
08.12.2010	623.4579831932773
09.12.2010	650.9147982062781
10.12.2010	704.3333333333334
11.12.2010	962.8742857142857
12.12.2010	1054.0584795321638
13.12.2010	1753.6099290780141
14.12.2010	1034.5087719298247
15.12.2010	918.8571428571429
16.12.2010	885.3121387283237
17.12.2010	986.210843373494
18.12.2010	871.72049689441
19.12.2010	1033.5380434782608
20.12.2010	1688.7798742138364
21.12.2010	933.1384615384616
22.12.2010	1228
23.12.2010	1118.6206896551723
24.12.2010	1000.8851351351351
25.12.2010	996.2797619047619
26.12.2010	1146.0620689655173
27.12.2010	1105.6686746987953
28.12.2010	1114.1005917159764
29.12.2010	980.5515151515151
30.12.2010	1052.8165680473373
31.12.2010	951.283950617284
01.01.2011	1109.9171270718232
02.01.2011	1023.6857142857143
03.01.2011	2482.391025641026
04.01.2011	1778.2553191489362
05.01.2011	2457.5194805194806
06.01.2011	1541.8156028368794
07.01.2011	1676.7256097560976
08.01.2011	2278.7823529411767
09.01.2011	2144.2147239263804
10.01.2011	2288.3271604938273
11.01.2011	2305.9244186046512
12.01.2011	1920.2754491017963
13.01.2011	2019.718085106383
14.01.2011	2047.1933701657458
15.01.2011	1916.7770700636943
16.01.2011	1689.9137931034484
17.01.2011	1335.4475138121547
18.01.2011	1846.9432624113474
19.01.2011	1694.3372781065088
20.01.2011	1421.6881720430108
21.01.2011	2186.0689655172414
22.01.2011	3150.569696969697
23.01.2011	2216.064705882353
24.01.2011	2312.244680851064
25.01.2011	1655.2692307692307
26.01.2011	1686.911111111111
27.01.2011	1867.45625
28.01.2011	2095.8037974683543
29.01.2011	3012.3229813664598
30.01.2011	6428.025641025641
31.01.2011	3036.6117647058823
01.02.2011	2580.768292682927
02.02.2011	1893.6518987341772
03.02.2011	1523.14375
04.02.2011	1525.2835051546392
05.02.2011	1564.3519553072626
06.02.2011	1755.8983050847457
07.02.2011	1321.320197044335
08.02.2011	1564.5238095238096
09.02.2011	1942.2135416666667
10.02.2011	3678.55376344086
11.02.2011	3843.7258064516127
12.02.2011	3058.627551020408
13.02.2011	2744.1161616161617
14.02.2011	3769.464285714286
15.02.2011	2962.6666666666665
16.02.2011	2591.603448275862
17.02.2011	2920.4242424242425
18.02.2011	3308.448113207547
19.02.2011	3089.6211180124224
20.02.2011	2875.8535353535353
21.02.2011	2881.226804123711
22.02.2011	3213.867298578199
23.02.2011	2859.312757201646
24.02.2011	3199.367149758454
25.02.2011	2804.311111111111
26.02.2011	2234.340579710145
27.02.2011	2943.467213114754
28.02.2011	3751.5133333333333
01.03.2011	6774.784615384616
02.03.2011	3826.9761904761904
03.03.2011	5051.784946236559
04.03.2011	3136.5927601809954
05.03.2011	3037.0036101083033
06.03.2011	2355.536496350365
07.03.2011	3016.4928909952605
08.03.2011	4463.941176470588
09.03.2011	3956.48125
10.03.2011	4933.554545454545
11.03.2011	4819.261538461538
12.03.2011	6119.771428571428
13.03.2011	6795.863247863248
14.03.2011	7601.080357142857
15.03.2011	8244.785714285714
16.03.2011	6970.683823529412
17.03.2011	6695.085106382979
18.03.2011	6209.033333333334
19.03.2011	8085.260869565217
20.03.2011	10225.868613138686
21.03.2011	10744.155405405405
22.03.2011	6028.378151260505
23.03.2011	9205.617834394905
24.03.2011	5180.743421052632
25.03.2011	4319.682080924856
26.03.2011	8149.289855072464
27.03.2011	6660.055944055944
28.03.2011	6379.053571428572
29.03.2011	5658.638036809816
30.03.2011	4123.429487179487
31.03.2011	3937.07960199005
01.04.2011	3512.443181818182
02.04.2011	3544.9444444444443
03.04.2011	3536.8742857142856
04.04.2011	4634.9775280898875
05.04.2011	3922.783505154639
06.04.2011	4507.101351351352
07.04.2011	4101.78231292517
08.04.2011	4145.3674698795185
09.04.2011	4020.102564102564
10.04.2011	3867.375722543353
11.04.2011	4757.5337423312885
12.04.2011	5618.1533742331285
13.04.2011	4836.396907216495
14.04.2011	6310.14375
15.04.2011	7102.382352941177
16.04.2011	6164.202312138728
17.04.2011	4610.627777777778
18.04.2011	7418.804054054054
19.04.2011	8239.064935064935
20.04.2011	9102.0625
21.04.2011	4664.149659863946
22.04.2011	4423.335227272727
23.04.2011	5494.290697674419
24.04.2011	5801.061728395061
25.04.2011	6000.640625
26.04.2011	6517.923076923077
27.04.2011	10654.803278688525
28.04.2011	7537.951219512195
29.04.2011	6751.525
30.04.2011	9596.190476190477
01.05.2011	9391.620111731843
02.05.2011	5798.918781725888
03.05.2011	6118.311224489796
04.05.2011	5970.065989847716
05.05.2011	6656.744292237443
06.05.2011	6148.376146788991
07.05.2011	6394.116822429906
08.05.2011	5374.465753424657
09.05.2011	6168.73640167364
