"Date","active_addr","avg.Block.size..kB.....Bitcoin","Price..BTC.USD....Bitcoin","f.number.86400..count......Bitcoin","sum.Transaction.count...Blocks....Bitcoin","avg.Fee...Transactions..USD.....Bitcoin"
2009-01-03,0,285,0.01,86400,1,0
2009-01-09,0,215,0.01,6171.42857142857,14,0
2009-01-10,0,215.229508196721,0.01,1416.39344262295,61,0
2009-01-11,0,215.408602150538,0.01,929.032258064516,93,0
2009-01-12,8,234.372340425532,0.01,919.148936170213,101,0
2009-01-13,0,215.666666666667,0.01,702.439024390244,123,0
2009-01-14,4,219.193798449612,0.01,669.767441860465,130,0
2009-01-15,14,238.579365079365,0.01,685.714285714286,134,0
2009-01-16,6,220.87037037037,0.01,800,110,0
2009-01-17,0,215.853211009174,0.01,792.660550458716,109,0
2009-01-18,4,219.943925233645,0.01,807.476635514019,108,0
2009-01-19,18,232.895652173913,0.01,751.304347826087,117,0
2009-01-20,9,224.728070175439,0.01,757.894736842105,115,0
2009-01-21,3,218.990196078431,0.01,847.058823529412,103,0
2009-01-22,11,228.747252747253,0.01,949.450549450549,92,0
2009-01-23,11,229.238095238095,0.01,1028.57142857143,86,0
2009-01-24,11,222.059701492537,0.01,429.850746268657,202,0
2009-01-25,2,217,0.01,452.356020942408,192,0
2009-01-26,21,239.947916666667,0.01,900,97,0
2009-01-27,4,220.309278350515,0.01,890.721649484536,98,0
2009-01-28,0,215.651785714286,0.01,771.428571428571,112,0
2009-01-29,13,227.256198347107,0.01,714.04958677686,122,0
2009-01-30,0,215.871794871795,0.01,738.461538461538,117,0
2009-01-31,21,232.463768115942,0.01,626.086956521739,139,0
2009-02-01,3,218.203539823009,0.01,764.601769911504,114,0
2009-02-02,2,217.09375,0.01,675,129,0
2009-02-03,15,248.496402877698,0.01,621.58273381295,155,0.000129677419354839
2009-02-04,0,215.739495798319,0.01,726.050420168067,119,0
2009-02-05,0,215.722222222222,0.01,685.714285714286,126,0
2009-02-06,0,215.83606557377,0.01,708.196721311475,122,0
2009-02-07,27,240.31007751938,0.01,669.767441860465,133,0
2009-02-08,2,217.575757575758,0.01,654.545454545455,133,0
2009-02-09,45,253.60447761194,0.01,644.776119402985,135,0
2009-02-10,0,215.666666666667,0.01,720,120,0
2009-02-11,16,229.127819548872,0.01,649.624060150376,135,0
2009-02-12,0,215.873949579832,0.01,726.050420168067,119,0
2009-02-13,0,215.903225806452,0.01,696.774193548387,124,0
2009-02-14,0,215.786764705882,0.01,635.294117647059,136,0
2009-02-15,14,229.3828125,0.01,675,131,0
2009-02-16,31,244.172131147541,0.01,708.196721311475,123,0
2009-02-17,0,215.897435897436,0.01,738.461538461538,117,0
2009-02-18,0,215.940677966102,0.01,732.203389830509,118,0
2009-02-19,17,231.048387096774,0.01,696.774193548387,125,0
2009-02-20,0,215.852459016393,0.01,708.196721311475,122,0
2009-02-21,0,215.964912280702,0.01,757.894736842105,114,0
2009-02-22,12,228.545454545455,0.01,714.04958677686,125,0
2009-02-23,0,215.990740740741,0.01,800,108,0
2009-02-24,0,215.933962264151,0.01,815.094339622642,106,0
2009-02-25,0,215.866666666667,0.01,822.857142857143,105,0
2009-02-26,0,215.96261682243,0.01,807.476635514019,107,0
2009-02-27,37,251.8,0.01,751.304347826087,116,0
2009-02-28,8,224.525252525253,0.01,872.727272727273,100,0
2009-03-01,0,215.952380952381,0.01,822.857142857143,105,0
2009-03-02,0,215.962962962963,0.01,800,108,0
2009-03-03,9,225.428571428571,0.01,822.857142857143,107,0
2009-03-04,26,244.711538461538,0.01,830.769230769231,106,0
2009-03-05,9,224.410714285714,0.01,771.428571428571,113,0
2009-03-06,0,215.923076923077,0.01,738.461538461538,117,0
2009-03-07,0,215.97247706422,0.01,792.660550458716,109,0
2009-03-08,27,243.591304347826,0.01,751.304347826087,118,0
2009-03-09,0,215.712962962963,0.01,800,108,0
2009-03-10,0,215.971962616822,0.01,807.476635514019,107,0
2009-03-11,0,215.885964912281,0.01,757.894736842105,114,0
2009-03-12,4,219.533898305085,0.01,732.203389830509,119,0
2009-03-13,14,229.389380530973,0.01,764.601769911504,114,0
2009-03-14,0,215.790909090909,0.01,785.454545454545,110,0
2009-03-15,0,215.967479674797,0.01,702.439024390244,123,0
2009-03-16,49,261.512396694215,0.01,714.04958677686,122,0
2009-03-17,0,215.964912280702,0.01,757.894736842105,114,0
2009-03-18,15,230.710526315789,0.01,757.894736842105,116,0
2009-03-19,0,215.786885245902,0.01,708.196721311475,122,0
2009-03-20,13,227.85593220339,0.01,732.203389830509,119,0
2009-03-21,0,215.88,0.01,1728,50,0
2009-03-22,12,227.126050420168,0.01,726.050420168067,121,0
2009-03-23,0,215.923076923077,0.01,664.615384615385,130,0
2009-03-24,0,215.980952380952,0.01,822.857142857143,105,0
2009-03-25,0,215.786324786325,0.01,738.461538461538,117,0
2009-03-26,29,243.606837606838,0.01,738.461538461538,118,0
2009-03-27,0,215.952830188679,0.01,815.094339622642,106,0
2009-03-28,21,236.235294117647,0.01,726.050420168067,122,0
2009-03-29,0,215.965517241379,0.01,744.827586206897,116,0
2009-03-30,0,215.85,0.01,720,120,0
2009-03-31,33,249.518181818182,0.01,785.454545454545,111,0
2009-04-01,0,215.859649122807,0.01,757.894736842105,114,0
2009-04-02,0,215.886956521739,0.01,751.304347826087,115,0
2009-04-03,0,215.948275862069,0.01,744.827586206897,116,0
2009-04-04,0,215.743362831858,0.01,764.601769911504,113,0
2009-04-05,18,231.553846153846,0.01,664.615384615385,132,0
2009-04-06,0,215.981651376147,0.01,792.660550458716,109,0
2009-04-07,0,215.99,0.01,864,100,0
2009-04-08,0,216,0.01,822.857142857143,105,0
2009-04-09,0,215.737373737374,0.01,872.727272727273,99,0
2009-04-10,0,215.944444444444,0.01,800,108,0
2009-04-11,8,223.333333333333,0.01,720,121,0
2009-04-12,9,224.71186440678,0.01,732.203389830509,120,0
2009-04-13,2,217.965217391304,0.01,751.304347826087,116,0
2009-04-14,0,215.951612903226,0.01,696.774193548387,124,0
2009-04-15,0,215.743362831858,0.01,764.601769911504,113,0
2009-04-16,0,215.894308943089,0.01,702.439024390244,123,0
2009-04-17,0,215.857142857143,0.01,771.428571428571,112,0
2009-04-18,5,222.039682539683,0.01,685.714285714286,130,0
2009-04-19,9,224,0.01,726.050420168067,120,0
2009-04-20,117,327.033613445378,0.01,726.050420168067,121,0
2009-04-21,2,217.739837398374,0.01,702.439024390244,124,0
2009-04-22,0,215.96694214876,0.01,714.04958677686,121,0
2009-04-23,0,215.68,0.01,1152,75,0
2009-04-24,0,215.904347826087,0.01,751.304347826087,115,0
2009-04-25,0,215.864406779661,0.01,732.203389830509,118,0
2009-04-26,16,232.053571428571,0.01,771.428571428571,114,0
2009-04-27,0,215.894230769231,0.01,830.769230769231,104,0
2009-04-28,0,215.632478632479,0.01,738.461538461538,117,0
2009-04-29,21,234.09375,0.01,675,129,0
2009-04-30,0,215.954198473282,0.01,659.541984732824,131,0
2009-05-01,0,215.876033057851,0.01,714.04958677686,121,0
2009-05-02,16,231.373015873016,0.01,685.714285714286,128,2.34375e-06
2009-05-03,4,223.72641509434,0.01,815.094339622642,109,0
2009-05-04,31,242.9296875,0.01,675,129,0
2009-05-05,11,224.666666666667,0.01,640,136,0
2009-05-06,0,215.977777777778,0.01,640,135,0
2009-05-07,0,216,0.01,708.196721311475,122,0
2009-05-08,0,215.943925233645,0.01,807.476635514019,107,0
2009-05-09,0,215.487179487179,0.01,1107.69230769231,78,0
2009-05-10,0,215.752941176471,0.01,1016.47058823529,85,0
2009-05-11,3,218.858333333333,0.01,720,121,8.26446280991736e-06
2009-05-12,0,215.923076923077,0.01,664.615384615385,130,0
2009-05-13,6,225.774774774775,0.01,778.378378378378,116,0
2009-05-14,6,221.086330935252,0.01,621.58273381295,142,0
2009-05-15,11,224.602941176471,0.01,635.294117647059,137,0
2009-05-16,0,215.949579831933,0.01,726.050420168067,119,0
2009-05-17,0,215.96062992126,0.01,680.314960629921,127,0
2009-05-18,0,215.923728813559,0.01,732.203389830509,118,0
2009-05-19,0,215.883720930233,0.01,1004.6511627907,86,0
2009-05-20,0,215.733333333333,0.01,720,120,0
2009-05-21,0,215.963414634146,0.01,1053.65853658537,82,0
2009-05-22,0,215.967213114754,0.01,1416.39344262295,61,0
2009-05-23,0,215.9375,0.01,2700,32,0
2009-05-24,0,215.9,0.01,864,100,0
2009-05-25,0,215.954128440367,0.01,792.660550458716,109,0
2009-05-26,0,215.904,0.01,691.2,125,0
2009-05-27,0,215.731092436975,0.01,726.050420168067,119,0
2009-05-28,0,215.884210526316,0.01,909.473684210526,95,0
2009-05-29,61,280.839622641509,0.01,815.094339622642,107,0
2009-05-30,0,215.715596330275,0.01,792.660550458716,109,0
2009-05-31,0,216,0.01,900,96,0
2009-06-01,2,219.830985915493,0.01,1216.9014084507,72,0
