Time,Price (BTC/USD) – Bitcoin,sum(Transaction count – Blocks) – Bitcoin,avg(Block size (kB)) – Bitcoin,f(number(86400)/count()) – Bitcoin,avg(Fee – Transactions (USD)) – Bitcoin
03.01.2009,0.01,1.0,285.0,86400.0,0.0
09.01.2009,0.01,14.0,215.0,6171.428571428572,0.0
10.01.2009,0.01,61.0,215.2295081967213,1416.3934426229507,0.0
11.01.2009,0.01,93.0,215.40860215053763,929.032258064516,0.0
12.01.2009,0.01,101.0,234.37234042553192,919.1489361702128,0.0
13.01.2009,0.01,123.0,215.66666666666663,702.439024390244,0.0
14.01.2009,0.01,130.0,219.1937984496124,669.7674418604652,0.0
15.01.2009,0.01,134.0,238.5793650793651,685.7142857142857,0.0
16.01.2009,0.01,110.0,220.8703703703704,800.0,0.0
17.01.2009,0.01,109.0,215.85321100917432,792.6605504587156,0.0
18.01.2009,0.01,108.0,219.94392523364485,807.4766355140187,0.0
19.01.2009,0.01,117.0,232.89565217391305,751.304347826087,0.0
20.01.2009,0.01,115.0,224.7280701754386,757.8947368421053,0.0
21.01.2009,0.01,103.0,218.99019607843135,847.0588235294117,0.0
22.01.2009,0.01,92.0,228.7472527472528,949.4505494505496,0.0
23.01.2009,0.01,86.0,229.23809523809524,1028.571428571429,0.0
24.01.2009,0.01,202.0,222.0597014925373,429.8507462686568,0.0
25.01.2009,0.01,192.0,217.0,452.3560209424084,0.0
26.01.2009,0.01,97.0,239.94791666666663,900.0,0.0
27.01.2009,0.01,98.0,220.30927835051543,890.7216494845361,0.0
28.01.2009,0.01,112.0,215.6517857142857,771.4285714285714,0.0
29.01.2009,0.01,122.0,227.25619834710744,714.0495867768595,0.0
30.01.2009,0.01,117.0,215.8717948717949,738.4615384615385,0.0
31.01.2009,0.01,139.0,232.46376811594203,626.0869565217391,0.0
01.02.2009,0.01,114.0,218.20353982300884,764.6017699115044,0.0
02.02.2009,0.01,129.0,217.09375,675.0,0.0
03.02.2009,0.01,155.0,248.49640287769785,621.5827338129496,0.0001296774193548
04.02.2009,0.01,119.0,215.73949579831933,726.0504201680673,0.0
05.02.2009,0.01,126.0,215.72222222222223,685.7142857142857,0.0
06.02.2009,0.01,122.0,215.8360655737705,708.1967213114754,0.0
07.02.2009,0.01,133.0,240.31007751937983,669.7674418604652,0.0
08.02.2009,0.01,133.0,217.5757575757576,654.5454545454545,0.0
09.02.2009,0.01,135.0,253.6044776119403,644.776119402985,0.0
10.02.2009,0.01,120.0,215.66666666666663,720.0,0.0
11.02.2009,0.01,135.0,229.12781954887217,649.624060150376,0.0
12.02.2009,0.01,119.0,215.87394957983196,726.0504201680673,0.0
13.02.2009,0.01,124.0,215.9032258064516,696.7741935483871,0.0
14.02.2009,0.01,136.0,215.78676470588235,635.2941176470588,0.0
15.02.2009,0.01,131.0,229.3828125,675.0,0.0
16.02.2009,0.01,123.0,244.172131147541,708.1967213114754,0.0
17.02.2009,0.01,117.0,215.89743589743588,738.4615384615385,0.0
18.02.2009,0.01,118.0,215.9406779661017,732.2033898305085,0.0
19.02.2009,0.01,125.0,231.0483870967742,696.7741935483871,0.0
20.02.2009,0.01,122.0,215.85245901639345,708.1967213114754,0.0
21.02.2009,0.01,114.0,215.96491228070172,757.8947368421053,0.0
22.02.2009,0.01,125.0,228.54545454545453,714.0495867768595,0.0
23.02.2009,0.01,108.0,215.99074074074076,800.0,0.0
24.02.2009,0.01,106.0,215.93396226415092,815.0943396226415,0.0
25.02.2009,0.01,105.0,215.86666666666667,822.8571428571429,0.0
26.02.2009,0.01,107.0,215.9626168224299,807.4766355140187,0.0
27.02.2009,0.01,116.0,251.8,751.304347826087,0.0
28.02.2009,0.01,100.0,224.5252525252525,872.7272727272727,0.0
01.03.2009,0.01,105.0,215.95238095238096,822.8571428571429,0.0
02.03.2009,0.01,108.0,215.96296296296296,800.0,0.0
03.03.2009,0.01,107.0,225.42857142857144,822.8571428571429,0.0
04.03.2009,0.01,106.0,244.71153846153845,830.7692307692307,0.0
05.03.2009,0.01,113.0,224.41071428571428,771.4285714285714,0.0
06.03.2009,0.01,117.0,215.92307692307693,738.4615384615385,0.0
07.03.2009,0.01,109.0,215.9724770642202,792.6605504587156,0.0
08.03.2009,0.01,118.0,243.59130434782608,751.304347826087,0.0
09.03.2009,0.01,108.0,215.71296296296296,800.0,0.0
10.03.2009,0.01,107.0,215.9719626168224,807.4766355140187,0.0
11.03.2009,0.01,114.0,215.8859649122807,757.8947368421053,0.0
12.03.2009,0.01,119.0,219.53389830508476,732.2033898305085,0.0
13.03.2009,0.01,114.0,229.38938053097343,764.6017699115044,0.0
14.03.2009,0.01,110.0,215.79090909090908,785.4545454545455,0.0
15.03.2009,0.01,123.0,215.96747967479675,702.439024390244,0.0
16.03.2009,0.01,122.0,261.5123966942149,714.0495867768595,0.0
17.03.2009,0.01,114.0,215.96491228070172,757.8947368421053,0.0
18.03.2009,0.01,116.0,230.71052631578948,757.8947368421053,0.0
19.03.2009,0.01,122.0,215.78688524590163,708.1967213114754,0.0
20.03.2009,0.01,119.0,227.85593220338984,732.2033898305085,0.0
21.03.2009,0.01,50.0,215.88,1728.0,0.0
22.03.2009,0.01,121.0,227.12605042016807,726.0504201680673,0.0
23.03.2009,0.01,130.0,215.92307692307693,664.6153846153846,0.0
24.03.2009,0.01,105.0,215.9809523809524,822.8571428571429,0.0
25.03.2009,0.01,117.0,215.7863247863248,738.4615384615385,0.0
26.03.2009,0.01,118.0,243.6068376068376,738.4615384615385,0.0
27.03.2009,0.01,106.0,215.9528301886793,815.0943396226415,0.0
28.03.2009,0.01,122.0,236.23529411764707,726.0504201680673,0.0
29.03.2009,0.01,116.0,215.9655172413793,744.8275862068965,0.0
30.03.2009,0.01,120.0,215.85,720.0,0.0
31.03.2009,0.01,111.0,249.51818181818183,785.4545454545455,0.0
01.04.2009,0.01,114.0,215.859649122807,757.8947368421053,0.0
02.04.2009,0.01,115.0,215.88695652173917,751.304347826087,0.0
03.04.2009,0.01,116.0,215.94827586206893,744.8275862068965,0.0
04.04.2009,0.01,113.0,215.7433628318584,764.6017699115044,0.0
05.04.2009,0.01,132.0,231.55384615384617,664.6153846153846,0.0
06.04.2009,0.01,109.0,215.9816513761468,792.6605504587156,0.0
07.04.2009,0.01,100.0,215.99,864.0,0.0
08.04.2009,0.01,105.0,216.0,822.8571428571429,0.0
09.04.2009,0.01,99.0,215.73737373737373,872.7272727272727,0.0
10.04.2009,0.01,108.0,215.94444444444449,800.0,0.0
11.04.2009,0.01,121.0,223.33333333333331,720.0,0.0
12.04.2009,0.01,120.0,224.71186440677965,732.2033898305085,0.0
13.04.2009,0.01,116.0,217.96521739130435,751.304347826087,0.0
14.04.2009,0.01,124.0,215.9516129032258,696.7741935483871,0.0
15.04.2009,0.01,113.0,215.7433628318584,764.6017699115044,0.0
16.04.2009,0.01,123.0,215.89430894308944,702.439024390244,0.0
17.04.2009,0.01,112.0,215.8571428571429,771.4285714285714,0.0
18.04.2009,0.01,130.0,222.03968253968253,685.7142857142857,0.0
19.04.2009,0.01,120.0,224.0,726.0504201680673,0.0
20.04.2009,0.01,121.0,327.03361344537814,726.0504201680673,0.0
21.04.2009,0.01,124.0,217.739837398374,702.439024390244,0.0
