Time_l,Price (BTC/USD) – Bitcoin,sum(Transaction count – Blocks) – Bitcoin,avg(Block size (kB)) – Bitcoin,f(number(86400)/count()) – Bitcoin,avg(Fee – Transactions (USD)) – Bitcoin,t,v
03.01.2009,0.01,1,285.0,86400.0,0.0,1230940800,0
09.01.2009,0.01,14,215.0,6171.428571428572,0.0,1231027200,0
10.01.2009,0.01,61,215.2295081967213,1416.3934426229507,0.0,1231113600,0
11.01.2009,0.01,93,215.40860215053763,929.032258064516,0.0,1231200000,0
12.01.2009,0.01,101,234.37234042553192,919.1489361702128,0.0,1231286400,0
13.01.2009,0.01,123,215.66666666666663,702.439024390244,0.0,1231372800,0
14.01.2009,0.01,130,219.1937984496124,669.7674418604652,0.0,1231459200,0
15.01.2009,0.01,134,238.5793650793651,685.7142857142857,0.0,1231545600,0
16.01.2009,0.01,110,220.8703703703704,800.0,0.0,1231632000,0
17.01.2009,0.01,109,215.85321100917432,792.6605504587156,0.0,1231718400,8
18.01.2009,0.01,108,219.94392523364485,807.4766355140187,0.0,1231804800,0
19.01.2009,0.01,117,232.89565217391305,751.304347826087,0.0,1231891200,4
20.01.2009,0.01,115,224.7280701754386,757.8947368421053,0.0,1231977600,14
21.01.2009,0.01,103,218.99019607843135,847.0588235294117,0.0,1232064000,6
22.01.2009,0.01,92,228.7472527472528,949.4505494505496,0.0,1232150400,0
23.01.2009,0.01,86,229.23809523809524,1028.571428571429,0.0,1232236800,4
24.01.2009,0.01,202,222.0597014925373,429.8507462686568,0.0,1232323200,18
25.01.2009,0.01,192,217.0,452.3560209424084,0.0,1232409600,9
26.01.2009,0.01,97,239.94791666666663,900.0,0.0,1232496000,3
27.01.2009,0.01,98,220.30927835051543,890.7216494845361,0.0,1232582400,11
28.01.2009,0.01,112,215.6517857142857,771.4285714285714,0.0,1232668800,11
29.01.2009,0.01,122,227.25619834710744,714.0495867768595,0.0,1232755200,11
30.01.2009,0.01,117,215.8717948717949,738.4615384615385,0.0,1232841600,2
31.01.2009,0.01,139,232.46376811594203,626.0869565217391,0.0,1232928000,21
01.02.2009,0.01,114,218.20353982300884,764.6017699115044,0.0,1233014400,4
