Time	sum(Transaction count – Blocks) – Ethereum
30.07.2015	0
31.07.2015	0
01.08.2015	0
02.08.2015	0
03.08.2015	0
04.08.2015	0
05.08.2015	0
06.08.2015	0
07.08.2015	2050
08.08.2015	2881
09.08.2015	1329
10.08.2015	2037
11.08.2015	4963
12.08.2015	2036
13.08.2015	2842
14.08.2015	3174
15.08.2015	2284
16.08.2015	2440
17.08.2015	2512
18.08.2015	2494
19.08.2015	3246
20.08.2015	2303
21.08.2015	3919
22.08.2015	3579
23.08.2015	4190
24.08.2015	4432
25.08.2015	4487
26.08.2015	4156
27.08.2015	5590
28.08.2015	4758
29.08.2015	4139
30.08.2015	4572
31.08.2015	5196
01.09.2015	5153
02.09.2015	5195
03.09.2015	4777
04.09.2015	5642
05.09.2015	5519
06.09.2015	5521
07.09.2015	5702
08.09.2015	5622
09.09.2015	5604
10.09.2015	5341
11.09.2015	6460
12.09.2015	5596
13.09.2015	6057
14.09.2015	5572
15.09.2015	5409
16.09.2015	5872
17.09.2015	5368
18.09.2015	5802
19.09.2015	5205
20.09.2015	6402
21.09.2015	6305
22.09.2015	6804
23.09.2015	7404
24.09.2015	6224
25.09.2015	5851
26.09.2015	5907
27.09.2015	5760
28.09.2015	6123
29.09.2015	5738
30.09.2015	5870
01.10.2015	6421
02.10.2015	6063
03.10.2015	6112
04.10.2015	6624
05.10.2015	6279
06.10.2015	6458
07.10.2015	7121
08.10.2015	6926
09.10.2015	6763
10.10.2015	6529
11.10.2015	6023
12.10.2015	6593
13.10.2015	6818
14.10.2015	6830
15.10.2015	6499
16.10.2015	6795
17.10.2015	6567
18.10.2015	6481
19.10.2015	6604
20.10.2015	5897
21.10.2015	6182
22.10.2015	5979
23.10.2015	6888
24.10.2015	6361
25.10.2015	5830
26.10.2015	5938
27.10.2015	6784
28.10.2015	7346
29.10.2015	7836
30.10.2015	7941
31.10.2015	7557
01.11.2015	6915
02.11.2015	6558
03.11.2015	7399
04.11.2015	7037
05.11.2015	7498
06.11.2015	7882
07.11.2015	10996
08.11.2015	12413
09.11.2015	7689
10.11.2015	8151
11.11.2015	10217
