"Date","active_addr","avg.Block.size..kB.....Ethereum","Price..ETH.USD....Ethereum","f.number.86400..count......Ethereum","sum.Transaction.count...Blocks....Ethereum","avg.Fee...Transactions..USD.....Ethereum"
2015-07-30,0,643.87109375,1,12.5,0,0
2015-07-31,0,582.027976103745,1,12.5892466851231,0,0
2015-08-01,0,575.164179104478,1,16.3234460608351,0,0
2015-08-02,0,580.878686076894,1,16.1254199328108,0,0
2015-08-03,0,587.112310606061,1,16.3636363636364,0,0
2015-08-04,0,586.969821162444,1,16.0953800298063,0,0
2015-08-05,0,578.945558739255,1,16.5042979942693,0,0
2015-08-06,0,583.670836591087,1,16.8881939014855,0,0
2015-08-07,1085,632.625361341299,1,16.6506070533822,2050,0.00487927562761506
2015-08-08,800,667.594748858447,1.65,16.4383561643836,2881,0.0130766841186736
2015-08-09,731,618.298067538552,1.4,16.8651180948663,1329,0.00287143896406227
2015-08-10,997,631.186108468126,1.4,16.441484300666,2037,0.00566141170364604
2015-08-11,2339,692.014015151515,0.66,16.3636363636364,4963,0.000699148019848329
2015-08-12,904,653.426424668228,1.05,16.8618266978923,2036,0.00448167408959916
2015-08-13,1273,665.722285281877,1.3,16.3450624290579,2842,0.00375455282669138
2015-08-14,1592,659.751420210019,2.14,14.873472198313,3174,0.00322040260012581
2015-08-15,1309,638.33519137867,1.625,16.0535117056856,2284,0.00177085234982114
2015-08-16,1202,640.653741231489,1.769999,16.8355416991426,2440,0.00148593691089607
2015-08-17,1249,634.707686553207,1.7699999,16.15859360389,2512,0.00164226566294318
2015-08-18,1294,648.488278092158,1.565,17.4616006467259,2494,0.00237816649642492
2015-08-19,1349,653.321070878274,1.085,16.6409861325116,3246,0.00190370496647346
2015-08-20,1166,650.093190854871,1.25,21.4711729622266,2303,0.0012998177399757
2015-08-21,1423,667.585298742138,1.4410014,16.9811320754717,3919,0.00120751203852327
2015-08-22,1413,648.037753746917,1.3300006,16.3915765509391,3579,0.00616932301319089
2015-08-23,1569,680.592260123678,1.34,17.2351885098743,4190,0.00113129265987609
2015-08-24,1436,672.547453703704,1.3300208,16.6666666666667,4432,0.00118179725808066
2015-08-25,1576,679.72984108299,1.051,16.9511477339612,4487,0.000873596128642
2015-08-26,1527,668.652408554867,1.1,17.2696382170698,4156,0.000878101881209047
2015-08-27,1590,707.929056924384,1.27,18.3517417162277,5590,0.00103327338129496
2015-08-28,1530,690.880077369439,1.1,18.568665377176,4758,0.0011439284236657
2015-08-29,1375,682.036498036498,1.0600001,19.95841995842,4139,0.000666080459770115
2015-08-30,1624,688.936462093863,1.23,20.7942238267148,4572,0.000779350999326297
2015-08-31,1514,730.651382823872,1.28,20.9606986899563,5196,0.000984789473684211
2015-09-01,1551,741.282630777044,1.1800001,21.9400711020823,5153,0.000986428417188512
2015-09-02,1514,766.281520827509,1.2600005,24.1543192619514,5195,0.00114494218030762
2015-09-03,1447,755.390481820869,1.26,25.5394620159622,4777,0.0010512189234854
2015-09-04,1446,762.356740940806,1.2194,19.4463200540176,5642,0.00115957158088592
2015-09-05,1476,752.894940052835,1.3733683,17.5574070310912,5519,0.00115318275154004
2015-09-06,1585,733.459421454399,1.161,17.3563680192849,5521,0.000853559572113611
2015-09-07,1631,752.599917252793,1.1620001,17.8733967728589,5702,0.000978885927015351
2015-09-08,1540,759.387162299411,1.3499999,17.5502742230347,5622,0.00127833471036445
2015-09-09,1543,764.624031777557,1.2999995,17.1598808341609,5604,0.00117910597232338
2015-09-10,1539,729.939636218269,1.200003,17.2696382170698,5341,0.000903756875174793
2015-09-11,1701,735.908967127018,1.2819997,16.8060688581988,6460,0.000927139527139527
2015-09-12,1543,761.423398328691,0.99,17.1906088340629,5596,0.00101012681324697
