Time,avg(Block size (kB)) – Ethereum,t,v,t_lambda,avg(Fee – Transactions (USD)) – Ethereum,f(number(86400)/count()) – Ethereum,Price (ETH/USD) – Ethereum,sum(Transaction count – Blocks) – Ethereum
30.07.2015,643.87109375,1438214400.0,0.0,30.07.2015,0.0,12.5,1.0,0
31.07.2015,582.0279761037447,1438300800.0,0.0,31.07.2015,0.0,12.589246685123124,1.0,0
01.08.2015,575.1641791044776,1438387200.0,0.0,01.08.2015,0.0,16.323446060835064,1.0,0
02.08.2015,580.8786860768944,1438473600.0,0.0,02.08.2015,0.0,16.12541993281075,1.0,0
03.08.2015,587.1123106060606,1438560000.0,0.0,03.08.2015,0.0,16.363636363636363,1.0,0
04.08.2015,586.9698211624441,1438646400.0,0.0,04.08.2015,0.0,16.09538002980626,1.0,0
05.08.2015,578.945558739255,1438732800.0,0.0,05.08.2015,0.0,16.50429799426934,1.0,0
06.08.2015,583.6708365910868,1438819200.0,0.0,06.08.2015,0.0,16.888193901485536,1.0,0
07.08.2015,632.6253613412989,1438905600.0,1085.0,07.08.2015,0.004879275627615,16.650607053382153,1.0,2050
08.08.2015,667.5947488584475,1438992000.0,800.0,08.08.2015,0.0130766841186736,16.438356164383563,1.65,2881
09.08.2015,618.2980675385517,1439078400.0,731.0,09.08.2015,0.0028714389640622,16.86511809486629,1.4,1329
10.08.2015,631.1861084681256,1439164800.0,997.0,10.08.2015,0.005661411703646,16.441484300666033,1.4,2037
11.08.2015,692.0140151515152,1439251200.0,2339.0,11.08.2015,0.0006991480198483,16.363636363636363,0.66,4963
12.08.2015,653.4264246682279,1439337600.0,904.0,12.08.2015,0.0044816740895991,16.861826697892273,1.05,2036
13.08.2015,665.7222852818767,1439424000.0,1273.0,13.08.2015,0.0037545528266913,16.34506242905789,1.3,2842
14.08.2015,659.751420210019,1439510400.0,1592.0,14.08.2015,0.0032204026001258,14.873472198312962,2.14,3174
15.08.2015,638.3351913786696,1439596800.0,1309.0,15.08.2015,0.0017708523498211,16.05351170568562,1.625,2284
16.08.2015,640.6537412314887,1439683200.0,1202.0,16.08.2015,0.001485936910896,16.835541699142635,1.769999,2440
17.08.2015,634.7076865532074,1439769600.0,1249.0,17.08.2015,0.0016422656629431,16.158593603890033,1.7699999,2512
18.08.2015,648.4882780921585,1439856000.0,1294.0,18.08.2015,0.0023781664964249,17.461600646725948,1.565,2494
19.08.2015,653.3210708782742,1439942400.0,1349.0,19.08.2015,0.0019037049664734,16.640986132511557,1.085,3246
20.08.2015,650.0931908548707,1440028800.0,1166.0,20.08.2015,0.0012998177399756,21.47117296222664,1.25,2303
21.08.2015,667.5852987421383,1440115200.0,1423.0,21.08.2015,0.0012075120385232,16.9811320754717,1.4410014,3919
22.08.2015,648.0377537469171,1440201600.0,1413.0,22.08.2015,0.0061693230131908,16.3915765509391,1.3300006,3579
23.08.2015,680.5922601236784,1440288000.0,1569.0,23.08.2015,0.001131292659876,17.235188509874327,1.34,4190
24.08.2015,672.5474537037037,1440374400.0,1436.0,24.08.2015,0.0011817972580806,16.666666666666668,1.3300208,4432
25.08.2015,679.72984108299,1440460800.0,1576.0,25.08.2015,0.000873596128642,16.951147733961154,1.051,4487
26.08.2015,668.6524085548671,1440547200.0,1527.0,26.08.2015,0.000878101881209,17.269638217069758,1.1,4156
27.08.2015,707.929056924384,1440633600.0,1590.0,27.08.2015,0.0010332733812949,18.351741716227696,1.27,5590
28.08.2015,690.880077369439,1440720000.0,1530.0,28.08.2015,0.0011439284236657,18.56866537717601,1.1,4758
29.08.2015,682.0364980364981,1440806400.0,1375.0,29.08.2015,0.0006660804597701,19.95841995841996,1.0600001,4139
30.08.2015,688.9364620938628,1440892800.0,1624.0,30.08.2015,0.0007793509993262,20.7942238267148,1.23,4572
31.08.2015,730.6513828238719,1440979200.0,1514.0,31.08.2015,0.0009847894736842,20.96069868995633,1.28,5196
01.09.2015,741.2826307770442,1441065600.0,1551.0,01.09.2015,0.0009864284171885,21.940071102082275,1.1800001,5153
02.09.2015,766.2815208275091,1441152000.0,1514.0,02.09.2015,0.0011449421803076,24.15431926195136,1.2600005,5195
03.09.2015,755.390481820869,1441238400.0,1447.0,03.09.2015,0.0010512189234853,25.539462015962165,1.26,4777
04.09.2015,762.3567409408057,1441324800.0,1446.0,04.09.2015,0.0011595715808859,19.446320054017555,1.2194,5642
05.09.2015,752.8949400528348,1441411200.0,1476.0,05.09.2015,0.00115318275154,17.55740703109124,1.3733683,5519
06.09.2015,733.4594214543994,1441497600.0,1585.0,06.09.2015,0.0008535595721136,17.356368019284854,1.161,5521
